Name,No. of QIS,Latitude,Longitude,City
Bellahalli,6,13.10367,77.63305,Bengaluru
Jalahalli east,4,13.06868,77.54511,Bengaluru
Kodigehalli,4,13.07009,77.579,Bengaluru
Sahakar Nagar,4,13.06255,77.58737,Bengaluru
Yelahanka,6,13.10394,77.57209,Bengaluru
Bagalakunte,4,13.05334,77.49704,Bengaluru
Attiguppe,4,12.96018,77.52964,Bengaluru
Armane Nagar,1,13.01555,77.58301,Bengaluru
Hesaraghatta,1,13.13589,77.48624,Bengaluru
Guttahalli,1,13.00154,77.58224,Bengaluru
VijayaNagar,4,12.97611,77.53534,Bengaluru
Shanti Nagar,1,12.95785,77.59985,Bengaluru
Chickpet,1,12.96747,77.57503,Bengaluru
Vasanth Nagar,1,12.98917,77.59351,Bengaluru
Benson town,4,13.00457,77.5999,Bengaluru
Gopalapura,1,12.97824,77.56313,Bengaluru
Laggere,4,13.01003,77.52552,Bengaluru
Richmond Town,1,12.96369,77.60389,Bengaluru
Shanthala nagar,1,12.97163,77.60069,Bengaluru
CRAIG park Layout,1,12.97113,77.61507,Bengaluru
Jogupalya,2,12.9694,77.62394,Bengaluru
Tavarekere,4,12.92806,77.60849,Bengaluru
Jayanagar,6,12.93022,77.58436,Bengaluru
Basavanagudi,6,12.9405,77.57365,Bengaluru
Azad Nagar,4,12.95543,77.55435,Bengaluru
Srinagar,6,12.9469,77.55144,Bengaluru
Kengeri Satellite Town,4,12.92605,77.48454,Bengaluru
Ullal,4,12.95789,77.48094,Bengaluru
Lakkasandra,6,12.94419,77.60068,Bengaluru
Kothur,6,12.87045,77.58193,Bengaluru
Hosakerehalli,4,12.92193,77.53533,Bengaluru
Rajarajeshwari Nagar,4,12.91472,77.52074,Bengaluru
Kodihalli,1,12.96591,77.64966,Bengaluru
Kaggadasapura,6,12.98275,77.67873,Bengaluru
Belur Nagasandra,1,12.94226,77.65515,Bengaluru
Varthur,6,12.93936,77.74241,Bengaluru
Bidare Agraha,4,13.03338,77.7449,Bengaluru
Byappanahalli,4,13.12587,77.64364,Bengaluru
Chikkajala,2,13.16845,77.63423,Bengaluru
Bagaluru,4,13.13267,77.66839,Bengaluru
Rajanukuntte,1,13.17635,77.5579,Bengaluru
Kambipura,4,12.87961,77.45727,Bengaluru
KIADB industrial Area,3,12.79781,77.65596,Bengaluru
Yarandahalli,3,12.81129,77.66944,Bengaluru
Kammasandra,3,12.83377,77.68835,Bengaluru
Bommasandra,4,12.81675,77.69509,Bengaluru
Chandapura,2,12.80086,77.70967,Bengaluru
Dommasandra,3,12.8787,77.75545,Bengaluru
Chikkakannalli,4,12.89561,77.7045,Bengaluru
Kasavanahalli,3,12.90653,77.67568,Bengaluru
Thubarahalli,4,12.95109,77.71937,Bengaluru
Budigere,1,13.13386,77.74493,Bengaluru
Bikasipura,6,12.89239,77.55955,Bengaluru
Kengri metro,4,12.90778,77.47665,Bengaluru
Neladri Nagar,6,12.83946,77.64576,Bengaluru
Sonnenahalli,4,12.93935,77.48218,Bengaluru
Peenya 2nd stage,4,13.0131,77.49111,Bengaluru
Sampigehalli,6,13.08076,77.62097,Bengaluru
Amrutahalli,6,13.06582,77.60285,Bengaluru
Geddalahalli,6,13.05212,77.63715,Bengaluru
Lingarajapuram,4,13.02177,77.62672,Bengaluru
Bharti Nagar,1,13.13806,77.61905,Bengaluru
Billamaranahalli,2,13.1534,77.63837,Bengaluru
Muddanahalli,1,13.14528,77.56874,Bengaluru
Nagenahalli,2,13.12827,77.57468,Bengaluru
Chikkabanavara,4,13.07554,77.50942,Bengaluru
Sompura,3,12.86559,77.76758,Bengaluru
Sarjapura,3,12.86185,77.78837,Bengaluru
Sadarmangala,6,12.99506,77.69193,Bengaluru
Kadubeesanahalli,4,12.94164,77.69492,Bengaluru
Bellandur,4,12.93603,77.68394,Bengaluru
Royal menakshi mall,4,12.87684,77.59516,Bengaluru
Sathanur,4,13.12142659,77.63101596,Bengaluru
Maruthi Nagar,4,13.10797641,77.60846714,Bengaluru
Doddabettahalli,4,13.09050436,77.5544027,Bengaluru
Nagasandra,4,13.03947281,77.50086572,Bengaluru
Jalahalli,4,13.04606,77.54549,Bengaluru
Mathikere,4,13.03392,77.56444,Bengaluru
Malleshwaram,4,13.00551,77.56924,Bengaluru
Shampura,4,13.02940887,77.61292478,Bengaluru
Bangalore Cantt,4,12.99406919,77.59841968,Bengaluru
Naagarabhavi,4,12.97193,77.51275,Bengaluru
Basavereshwar nagar,4,12.9879,77.53666,Bengaluru
Chandra Layout,4,12.95529,77.52344,Bengaluru
Kalasipalya,4,12.95959,77.58019,Bengaluru
Banashankari,4,12.92545,77.54676,Bengaluru
Kormangala,6,12.93545,77.62714,Bengaluru
Adugodi,4,12.942,77.6083,Bengaluru
Kodipalya,4,12.89852,77.48902,Bengaluru
Vajarahalli,4,12.87013,77.54331,Bengaluru
Anajanpura,4,12.85695,77.56216,Bengaluru
Gottigere,4,12.85644,77.58884,Bengaluru
Bommanahalli,6,12.903,77.62479,Bengaluru
HSR Layout,4,12.91213,77.64373,Bengaluru
Vishwapriya nagar,4,12.88162175,77.62782546,Bengaluru
Somasundar Palya,4,12.89804,77.65409,Bengaluru
Basapura,4,12.86523759,77.6515281,Bengaluru
Sarjapur Social,6,12.91009,77.6862,Bengaluru
Gunjur Village,4,12.92101,77.73554,Bengaluru
Balagere,4,12.93948,77.7294,Bengaluru
Brookefield,4,12.96554,77.71868,Bengaluru
Varthur Kodi,4,12.95774,77.74414,Bengaluru
Ramamurthy Nagar,4,13.01631,77.67848,Bengaluru
Indiranagr,6,12.97837,77.64084,Bengaluru
Domlur,6,12.96099,77.63873,Bengaluru
Murugeshpalya,4,12.95602629,77.65350607,Bengaluru
CV Raman Nagar,4,12.98615732,77.66451675,Bengaluru
Basavanagara,4,12.96617985,77.67954931,Bengaluru
gayatri Nagar,4,13.00915,77.70547,Bengaluru
Kodigehalli,4,13.00263,77.72648,Bengaluru
KEB layout,4,13.03081074,77.58037341,Bengaluru
IISc,4,13.0175796,77.56594475,Bengaluru
Rajajinagar,4,12.99806879,77.55252863,Bengaluru
BTM 2nd stage,4,12.90905936,77.60117677,Bengaluru
Peenya,4,13.03657018,77.52427272,Bengaluru
Jalahali west,4,13.06164564,77.51976987,Bengaluru
Chikkalasandra,4,12.91214301,77.54699348,Bengaluru
JP Nagar 7th phase,6,12.88669576,77.57686096,Bengaluru
