QIS No.,QIS Name,QIS Name - New,Site Type2,Area,City,Circle,Region,Lat,Long
WMQISXM1V1-00085,Bengaluru-Konanakunte,"BLR_PVT_Kuvempu Nagar, Konanakunte",Private,Konankunte ,Bengaluru,Karnataka,South,12.8868,77.55774
WMQISXM1V1-00084,Bangalore-Nagavara-Junction,"BLR_PVT_Nagavara-Junction, HBCS Layout",Private,Hennur- Nagwara ,Bengaluru,Karnataka,South,13.03786,77.6141719
WMQISXM1V1-00089,IOCL Auto Yard,"DEL_IOC_Auto-Yard, Jasola Vihar",IOCL,Auto Yard,Delhi,Delhi,North,28.537881,77.284283
WMQISXM1V1-00094,Medical College,"CAL_PVT_K.M. Apartment, Velliparamba",Private,Kozhikoda,Calicut,Kerala,South,11.269885,75.839507
WMQISXM1V1-00095,Kazhakoottam,"TVD_PVT_Technopark Campus, Kazhakkoottam",Private,"Pulinthanam Lane,",Trivandrum,Kerala,South,8.5651499,76.8785611
WMQISXM1V1-00091,Budh Vihar/ Sultanpuri,"DEL_PVT_Harsh Dev Park, Budh Vihar",Private,Budh Vihar,Delhi,Delhi,North,28.714337,77.084686
WMQISXM1V1-00103,Sector 29 Faridabad,"FDB_PVT_Bhoor Colony, Old Faridabad",Private,Old Faridabad Sabzi Mandi,Faridabad,Haryana,North,28.4281264,77.3225272
WMQISXM1V1-00109,Private (New Yelahanka),"BLR_PVT_Udaya Layout, Yelahanka",Private,New Yehlanka,Bengaluru,Karnataka,South,13.097303,77.576711
WMQISXM1V1-00099,Mundka,"DEL_PVT_West Cabin Block, Mundka",Private,Metro Station,Delhi,Delhi,North,28.683376,77.030912
WMQISXM1V1-00081,Mankav,"CAL_IOC_Mankavu, Thiruvannur",IOCL, Mini Bypass Rd,Calicut,Kerala,South,11.233617,75.803352
WMQISXM1V1-00105,BECIL (Sapna Cinema),"DEL_BEC_Sapna Cinema, East of Kailash",BECIL,Lala Lajpat Nagar,Delhi,Delhi,North,28.5591021,77.2465663
WMQISXM1V1-00082,Maysore Road_Relocation,"BLR_PVT_Basappa Layout, Rajarajeshwari Nagar",Private,Basappa layout,Bengaluru,Karnataka,South,12.918473,77.509565
WMQISXM1V1-00114,Sector 80- Big Basket Hub,"NOI_PVT_Sorkha, Sector 115",Private,Vasant Vihar,Noida,UP,North,28.57116,77.40797
WMQISXM1V1-00108,Anand Vihar,DEL_PVT_Ghazipur,Private,Anand Vihar,Delhi,Delhi,North,28.63319281,77.31649746
WMQISXM1V1-00090,Tata Power (Mangolpuri) 1,"DEL_TPO_Mangolpuri,RIICO Phase1",Tata Power,Industrial Area,Delhi,Delhi,North,28.687259,77.082775
WMQISXM1V1-00113,Laxmi Nagar,"DEL_PVT_Block F, Laxmi Nagar",Private,Laxmi Nagar,Delhi,Delhi,North,28.63474216,77.27954709
WMQISXM1V1-00112,Tata Power Pitampura 1,"DEL_TPO_West Enclave,Pitampura",Tata Power,West Enclave,Delhi,Delhi,North,28.6933,77.105388
WMQISXM1V1-00096,Private (Thampanoor/ East Fort) ,"TVD_PVT_Paund Colony, Thycaud",Private,Thampanoor,Trivandrum,Kerala,South,8.494876,76.957039
WMQISXM1V1-00111,Thirumala Junction(AR Fuels),"TVD_PVT_Thirumala, Nareencheril",Private,Thirumala,Trivandrum,Kerala,South,8.4971686,76.99535122
WMQISXM1V1-00127,Kapas Hera – IOCL Rajasthan Highway SS,"DEL_IOC_Kapas-Hera, D block",IOCL,Kapas Hera,Delhi,Delhi,North,28.518251,77.081182
WMQISXM1V1-00125,IOCL Jindal Filling,"DEL_IOC_Jindal-Filling, New Friends Colony",IOCL,Mathura Road,Delhi,Delhi,North,28.56236,77.26643
WMQISXM1V1-00118,DH Road Collectorate Office,"KOC_IOC_Ernakulam, DH-Road",IOCL,Collectorate office,Kochi,Kerala,South,9.96771,76.282181
WMQISXM1V1-00119,Kadavantra,"KOC_PVT_Janatha, Ernakulam",Private,Janatha Junction,Kochi,Kerala,South,9.96768,76.311762
WMQISXM1V1-00132,Zirakpur Ambala Road IOCL,CDG_IOC_Zirakpur-Ambala-Road,IOCL,Zirakpur Ambala Road,Chandigarh,Punjab,North,30.66555061,76.81654107
WMQISXM1V1-00134,Maria Fuel - Thoppumpadi,"KOC_PVT_Karuvelipady, Thoppumpady",Private,Thoppumpadi,Kochi,Kerala,South,9.93944,76.259943
WMQISXM1V1-00120,Kaloor - Junction,"KOC_PVT_Kacheripady, Ernakulam",Private,Townhall Metro Station,Kochi,Kerala,South,9.991022,76.28772
WMQISXM1V1-00139,Devraj Enterprises,"BLR_IOC_Devraj-Enterprises, Suramayi Plaza, Bellandur",IOCL,Bellandur,Bengaluru,Karnataka,South,12.923337,77.669701
WMQISXM1V1-00131,IOCL Lotus Automobiles,"DEL_IOC_Lotus-Automobiles, Ghitorni",IOCL,Andheria Mor Mahrauli Gurgaon Road ,Delhi,Delhi,North,28.50427,77.17168333
WMQISXM1V1-00128,Rohini Sector-28,"DEL_PVT_Sector 28, Rohini",Private,Rohini,Delhi,Delhi,North,28.7482932,77.101008
WMQISXM1V1-00137,Shubhash Nagar Metro Parking 1,DEL_DTL_Shubhash Nagar Metro Station,DTL,Subhash Nagar,Delhi,Delhi,North,28.640928,77.105056
WMQISXM1V1-00141,Haiderpur,"GUR_PVT_Ghatta Kanarpur, Sector 58",Private,Haiderpur,Gurugram,Haryana,North,28.4197526,77.1104857
WMQISXM1V1-00142,Wazirpur - IOCL United Fuel Station,"DEL_IOC_Wazirpur-United-Fuel, Pitampura",IOCL,Wazirpur,Delhi,Delhi,North,28.696438,77.155124
WMQISXM1V1-00144,Vasant vihar 1,"DEL_DTL_CGHS Colony, Vasant Vihar",DTL,Vasant vihar ,Delhi,Delhi,North,28.55759,77.162533
WMQISXM1V1-00145,Kair 1,DEL_DTL_Kair,DTL,Kair ,Delhi,Delhi,North,28.61882,76.930195
WMQISXM1V1-00136,Dwarka Mor Metro Parking 1,DEL_DTL_Dwarka Mor Metro Parking,DTL,Dwarka Mor Metro Parking ,Delhi,Delhi,North,28.618761,77.033409
WMQISXM1V1-00149,Indraprastha 1,DEL_DTL_Indraprastha Metro station,DTL,Indraprastha,Delhi,Delhi,North,28.620485,77.249458
WMQISXM1V1-00148,Shadipur Depot 1,DEL_DTL_Shadipur Post,DTL,Shadipur Depot ,Delhi,Delhi,North,28.65348,77.15571
WMQISXM1V1-00143,Sahibabad,,Private,Sahibabad,Ghaziabad,UP,North,28.656255,77.3524557
WMQISXM1V1-00147,Naharpur(Zyngo parking),"GUR_PVT_Guru Nanak Complex, Near Anaj Mandi",Private,Naharpur,Gurugram,Haryana,North,28.442149,77.015803
WMQISXM1V1-00163,Kalyanagar Pvt Hub,"BLR_PVT_Chellikere, Kalyan Nagar",Hub-Private,Kalyan Nagar,Bengaluru,Karnataka,South,13.026237,77.642209
WMQISXM1V1-00158,Sector 44 Gurugram,"GUR_PVT_Kanhai Colony, Sector 44",Private,Kanhi Colony,Gurugram,Haryana,North,28.4485539,77.077442
WMQISXM1V1-00159,Indraprastha 2,DEL_DTL_Indraprastha Metro station,DTL,Indraprastha,Delhi,Delhi,North,28.620485,77.249458
WMQISXM1V1-00151,Sector22/Udyog Vihar,"GUR_PVT_Phase4,Udyog ViharSector18",Private,Mullahera,Gurugram,Haryana,North,28.501995,77.067433
WMQISXM1V1-00161,Delhi Diesel,"DEL_IOC_Diesels, Yamuna Vihar, Shahdara",IOCL,Near gokul escape,Delhi,Delhi,North,28.70279,77.26609
WMQISXM1V1-00157,LIBRA FILLING STATION,"DEL_IOC_Libra-Filling-Station, Azadpur",IOCL,Dehli Karnal Raod,Delhi,Delhi,North,28.721768,77.165309
WMQISXM1V1-00171,Dwarka Mor Metro Parking 2,DEL_DTL_Dwarka Mor Metro Parking,DTL,BRPL ,Delhi,Delhi,North,28.618761,77.033409
